source sentence, target sentence
je suis contente d tre partie de boston. , i m glad i left boston.
vous tes veinarde. , you re in luck.
je suis ducateur canin. , i m a dog trainer.
tu pr ches un convaincu. , you re preaching to the choir.
je ne vis plus avec lui. , i m not living with him anymore.
vous tes d go tantes. , you re disgusting.
je suis toujours amoureux de mary. , i m still in love with mary.
vous vous leurrez. , you are deceiving yourself.
tu n es pas notre ami. , you are not our friend.
tu es plus grande que moi. , you are taller than me.
c est une infirmi re attitr e. , she is qualified as a nurse.
je suis ami avec tous ces gars l. , i m friends with all those guys.
il aime ce genre de musique. , he is fond of this kind of music.
je ne te donnerai aucun argent. , i m not giving you any money.
je vais devenir avocat. , i m going to be a lawyer.
tu es l lu. , you are the chosen one.
tu n es pas ma m re. , you aren t my mother.
je suis libre aujourd hui. , i m free today.
il est occup pr parer son voyage. , he is busy preparing for the trip.
je vais confectionner un b cher. , i m going to build a fire.
je compte sur votre aide. , i m counting on your help.
je ne suis pas un saint. , i m no saint.
elle aime prendre des photos. , she s fond of taking pictures.
vous tes tous les deux jolis. , you re both pretty.
ce n est pas un homme ordinaire. , he is no ordinary man.
tu es allemand n est ce pas? , you re german aren t you?
je ne suis certainement pas ton amie. , i m certainly not your friend.
je suis mal barr. , i am in trouble.
il est en train de manger. , he is eating.
tu es plus grand que moi. , you re taller than i am.
je prends cela s rieusement. , i m taking it seriously.
t es bourr e. , you re loaded.
je refuse de te vendre ma voiture. , i m not selling you my car.
je suis chauve. , i m bald.
c est l homme parfait pour toi. , he s the perfect man for you.
je n en suis pas certain. , i m not certain.
tu es jolie. , you re pretty.
il est c libataire. , he is unmarried.
tu es saoul. , you re drunk.
elle fait r chauffer l eau. , she s heating the water.
je suis en train de r am nager. , i m remodeling.
j ai vraiment faim. , i m really hungry.
moi j en ai fini avec vous. , i m done with you.
je suis conscient de mes responsabilit s. , i m aware of my responsibilities.
elle l a vu la gare. , she saw him at the station.
elle est assur e d tre surprise. , she is certain to be surprised.
